품목코드,품목명,상품명,재고수량,안전재고
"P0000CEL000A","바삭야채고로케 200g","바삭바삭 고로케 3가지 맛 (야채/카레/게살) 200g","0","0"
"P0000CEL000B","바삭카레고로케 200g","바삭바삭 고로케 3가지 맛 (야채/카레/게살) 200g","0","0"
"P0000CEL000C","게살크림고로케 200g","바삭바삭 고로케 3가지 맛 (야채/카레/게살) 200g","0","0"
"P0000CDR000B","","고소하고 바삭한 멘보샤 300g","0","0"
"P0000CDP000D","","[마지막물량] 미트칠리 프라이즈 350g","0","0"
"P0000CCA000B","매콤 바삭한 롱롱 불돈까스350g","매콤 바삭한 불돈까스","0","0"
"P0000BYZ000A","프리미엄 핵이득 캠핑백","프리미엄 핵이득 캠핑백","880","7"
"P0000BXJ000B","닭연골 튀김 500g","[에어프라이용] 바삭오독한 닭연골 튀김 500g","0","0"
"P0000BWU000A","","[설날 한상차림!] 설날 준비끝! 한상차림 세트 모둠 8종","0","0"
"P0000BVV000A","부침명장 한입아삭김치전 300g","[부침명장] 전 5종 골라담기","0","0"
"P0000BVV000B","부침명장 한입땡초부추전 300g","[부침명장] 전 5종 골라담기","0","0"
"P0000BVV000C","튀김공방 매콤한 한입고추튀김 300g","[부침명장] 전 5종 골라담기","0","0"
"P0000BVV000D","튀김공방 깻잎튀김 300g","[부침명장] 전 5종 골라담기","0","0"
"P0000BVV000E","부침명장 녹두빈대떡 400g","[부침명장] 전 5종 골라담기","44","0"
"P0000BVV000F","부침명장 오미산적 450g","[부침명장] 전 5종 골라담기","29","0"
"P0000BVV000G","부침명장 깻잎전 400g","[부침명장] 전 5종 골라담기","0","0"
"P0000BVV000H","부침명장 계란옷입은 고기완자 400g","[부침명장] 전 5종 골라담기","77","0"
"P0000BSC000B","제대로 된 오뎅전골 751g","[간편조리] 제대로 된 오뎅전골 KIT 751g (2인분)","0","0"
"P0000BRS000H","프리미엄 핵이득 궁중 LA갈비 1.9kg (선물상자+감사카드 무료증정) + 아이스박스 포장","[무료배송/특가] 프리미엄 핵이득 궁중 LA갈비 1.9kg (선물상자+감사카드 무료증정)","495","0"
