품목코드,품목명,상품명,재고수량,안전재고
"P0000CXL000D","핵이득 촉촉 족발 300g","[특가] 전문점 갈 필요없는 핵이득 촉촉 족발 300g","1031","50"
"P0000CXL000E","불소스 30g","[특가] 전문점 갈 필요없는 핵이득 촉촉 족발 300g","386","50"
"P0000CXL000F","마늘소스 150g","[특가] 전문점 갈 필요없는 핵이득 촉촉 족발 300g","17","5"
"P0000CXM000E","핵이득 촉촉 보쌈 250g","[특가] 전문점 갈 필요없는 핵이득 촉촉 보쌈 250g","1394","50"
"P0000CXM000F","불소스 30g","[특가] 전문점 갈 필요없는 핵이득 촉촉 보쌈 250g","476","50"
"P0000CXM000G","마늘소스 150g","[특가] 전문점 갈 필요없는 핵이득 촉촉 보쌈 250g","57","5"
"P0000CXK000C","핵이득 연탄불고기 200g","[특가] 전문점 갈 필요없는 핵이득 연탄불고기 200g","0","0"
"P0000CXJ000C","핵이득 옛날삼겹살 600g","[한근상회] 어떤 요리에도 찰떡같이 어울리는! 핵이득 옛날삼겹살 600g","0","0"
"P0000CVX000A","서초 사골 소고기미역국 700g","[700시리즈, 특가] 전문점 갈 필요없는 서초 사골 소고기미역국 700g","1236","50"
"P0000CVX000B","다진마늘 15g + 다진청양 15g","[700시리즈, 특가] 전문점 갈 필요없는 서초 사골 소고기미역국 700g","78","5"
"P0000CVX000C","서초 사골 황태해장국 700g","[700시리즈, 특가] 전문점 갈 필요없는 서초 사골 소고기미역국 700g","0","8"
"P0000CVX000D","핵이득 서초 얼큰 소고기국밥 700g","[700시리즈, 특가] 전문점 갈 필요없는 서초 사골 소고기미역국 700g","0","1"
"P0000CVX000E","핵이득 서초 사골 육개장 700g","[700시리즈, 특가] 전문점 갈 필요없는 서초 사골 소고기미역국 700g","0","0"
"P0000CVW000A","서초 사골 황태해장국 700g","[700시리즈, 특가] 전문점 갈 필요없는 서초 사골 황태해장국 700g","308","50"
"P0000CVW000B","다진마늘 15g + 다진청양 15g","[700시리즈, 특가] 전문점 갈 필요없는 서초 사골 황태해장국 700g","170","15"
"P0000CVT000D","바질포모도로 파스타 320g","[간편조리] 파스타 4종 골라담기","315","35"
"P0000CVT000E","쉬림프알리오올리오 파스타 320g","[간편조리] 파스타 4종 골라담기","209","30"
"P0000CVT000F","버섯크림 파스타 290g","[간편조리] 파스타 4종 골라담기","206","30"
